,exp_id,cleaning_start__min_removed_p_in_itrs,cleaning_start__max_removed_p_in_itrs,cleaning_start__avg_removed_p_in_itrs,cleaning_end__min_removed_p_in_itrs,cleaning_end__max_removed_p_in_itrs,cleaning_end__avg_removed_p_in_itrs,min_it_duration,max_it_duration,avg_it_duration
0,341478,0,3,1.04,0,1,0.03,59.582144021987915,59.99783706665039,59.82547427892685
1,341493,1,3,1.05,0,1,0.02,59.582387924194336,59.99893593788147,59.82339295864105
2,341503,1,3,1.05,0,1,0.06,59.5820529460907,59.99856996536255,59.81892879724503
3,341513,1,4,1.07,0,1,0.03,59.78188991546631,59.99801993370056,59.8259762263298
4,341528,1,3,1.04,0,5,0.06,58.95385980606079,59.993106842041016,59.816955683231356
5,341548,1,3,1.04,0,1,0.02,59.5752170085907,59.992862939834595,59.81523352146149
6,341566,1,5,1.15,0,1,0.01,59.58156394958496,59.99716591835022,59.81929918766022
7,341580,1,2,1.02,0,1,0.02,59.78954792022705,59.99881291389465,59.81711411476135
8,341603,1,3,1.1,0,1,0.02,59.7890899181366,59.99902701377869,59.82774756908417
9,341617,1,2,1.05,0,1,0.08,59.57289910316467,59.99936294555664,59.80627092599869
